n_tokens,n_tokens_entity,n_tokens_cat,n_tokens_entity_cat,entity,cat,p_y,p_y_x,p_xy,h_xy,pmi,npmi
58944,452,541,1,thailand,tentat,0.009178203040173725,0.0022123893805309734,1.696525515743757e-05,15.847057346091335,-1.4227583390637342,-0.08978060140702757
58944,452,597,4,thailand,certain,0.010128257328990227,0.008849557522123894,6.786102062975027e-05,13.847057346091335,-0.1349618124899639,-0.009746606020091345
58944,452,1058,0,thailand,money,0.017949239956568948,0.0,0.0,0.0,0.0,0.0
58944,452,137,1,thailand,friend,0.002324239956568947,0.0022123893805309734,1.696525515743757e-05,15.847057346091335,-0.049319986045377476,-0.003112248852784155
58944,452,2801,8,thailand,achieve,0.04751967969598263,0.017699115044247787,0.00013572204125950055,12.847057346091335,-0.9876292937975251,-0.0768759154093764
58944,452,506,4,thailand,negate,0.00858441910966341,0.008849557522123894,6.786102062975027e-05,13.847057346091335,0.03041863161517244,0.002196757827666456
58944,452,745,3,thailand,anger,0.012639115092290988,0.00663716814159292,5.0895765472312706e-05,14.262094845370179,-0.6441109899287023,-0.04516243910254154
58944,452,157,0,thailand,anx,0.002663545059717698,0.0,0.0,0.0,0.0,0.0
58944,327,2601,4,uae,posemo,0.04412662866449511,0.012232415902140673,6.786102062975027e-05,13.847057346091335,-1.2829739556110356,-0.0926531842502397
58944,327,1259,3,uae,negemo,0.021359256243213897,0.009174311926605505,5.0895765472312706e-05,14.262094845370179,-0.845077796658512,-0.05925341303790619
58944,327,162,1,uae,they,0.002748371335504886,0.0030581039755351682,1.696525515743757e-05,15.847057346091335,0.10678661348534123,0.006738576831848221
58944,327,431,0,uae,we,0.0073120249728555915,0.0,0.0,0.0,0.0,0.0
58944,327,541,1,uae,tentat,0.009178203040173725,0.0030581039755351682,1.696525515743757e-05,15.847057346091335,-1.0990363301287562,-0.06935270732770035
58944,327,597,2,uae,certain,0.010128257328990227,0.0061162079510703364,3.393051031487514e-05,14.847057346091335,-0.5043869841149313,-0.03397218535346448
58944,327,1058,1,uae,money,0.017949239956568948,0.0030581039755351682,1.696525515743757e-05,15.847057346091335,-1.7697526637005194,-0.11167705303578192
58944,327,137,0,uae,friend,0.002324239956568947,0.0,0.0,0.0,0.0,0.0
58944,327,2801,17,uae,achieve,0.04751967969598263,0.05198776758409786,0.0002884093376764387,11.759594504840996,0.0898645175138329,0.007641804101054586
58944,327,506,2,uae,negate,0.00858441910966341,0.0061162079510703364,3.393051031487514e-05,14.847057346091335,-0.339006540009795,-0.022833247835406426
58944,327,745,3,uae,anger,0.012639115092290988,0.009174311926605505,5.0895765472312706e-05,14.262094845370179,-0.32038898099372454,-0.02246437037948395
58944,327,157,0,uae,anx,0.002663545059717698,0.0,0.0,0.0,0.0,0.0
58944,553,2601,11,doh,posemo,0.04412662866449511,0.019891500904159132,0.00018661780673181325,12.387625727454038,-0.796770874557637,-0.06431990214168289
58944,553,1259,0,doh,negemo,0.021359256243213897,0.0,0.0,0.0,0.0,0.0
58944,553,162,2,doh,they,0.002748371335504886,0.003616636528028933,3.393051031487514e-05,14.847057346091335,0.2745359634202052,0.018490934400039887
58944,553,431,1,doh,we,0.0073120249728555915,0.0018083182640144665,1.696525515743757e-05,15.847057346091335,-1.3971229720111038,-0.08816292775994171
58944,553,541,2,doh,tentat,0.009178203040173725,0.003616636528028933,3.393051031487514e-05,14.847057346091335,-0.9312869801938924,-0.06272535752271913
58944,553,597,4,doh,certain,0.010128257328990227,0.007233273056057866,6.786102062975027e-05,13.847057346091335,-0.3366376341800675,-0.02431113165535431
58944,553,1058,9,doh,money,0.017949239956568948,0.0162748643761302,0.0001526872964169381,12.677132344649022,-0.09792591698938144,-0.007724611081363023
58944,553,137,0,doh,friend,0.002324239956568947,0.0,0.0,0.0,0.0,0.0
58944,553,2801,19,doh,achieve,0.04751967969598263,0.034358047016274866,0.00032233984799131377,11.59912983264775,-0.3243076780010241,-0.027959655825922757
58944,553,506,4,doh,negate,0.00858441910966341,0.007233273056057866,6.786102062975027e-05,13.847057346091335,-0.1712571900749311,-0.012367767807596504
58944,553,745,0,doh,anger,0.012639115092290988,0.0,0.0,0.0,0.0,0.0
58944,553,157,0,doh,anx,0.002663545059717698,0.0,0.0,0.0,0.0,0.0
58944,501,2601,27,american,posemo,0.04412662866449511,0.05389221556886228,0.0004580618892508143,11.092169843927866,0.19992261908579156,0.018023761076398793
58944,501,1259,10,american,negemo,0.021359256243213897,0.01996007984031936,0.00016965255157437567,12.525129251203973,-0.06775092252018756,-0.005409199471029413
58944,501,162,0,american,they,0.002748371335504886,0.0,0.0,0.0,0.0,0.0
