token,pc1,pc2
received,0.736466646194458,0.4389205276966095
so,0.3335062861442566,-0.495673805475235
speech,-0.3595049977302551,0.3408861756324768
cases,0.7757946848869324,-0.13298426568508148
between,-0.570967972278595,-0.11169078201055527
according,0.2585814297199249,0.5285739898681641
you,-0.4447041451931,-0.47578567266464233
our,-0.22495414316654205,-0.5103294253349304
but,0.006475352682173252,-0.6720497012138367
xi_jinping,-0.49107804894447327,0.4157665967941284
official,-0.20425370335578918,0.5613657236099243
masks,0.45983070135116577,0.4977129399776459
team,0.1464635133743286,0.4345044195652008
public,-0.18902479112148285,0.15491871535778046
made,0.26488348841667175,0.05091178044676781
work,-0.3749005198478699,-0.30953410267829895
general,-0.3879004418849945,0.642562747001648
wang_yi,-0.5291644334793091,0.42661112546920776
they,0.14248089492321014,-0.4668521583080292
trade,-0.5025118589401245,0.08991773426532745
here,-0.37149545550346375,0.13793253898620605
use,0.7455349564552307,0.2048535943031311
huang,-0.3743196725845337,0.5041629076004028
wednesday,0.08419348299503326,0.7306795120239258
second,0.7303397059440613,0.2757216691970825
high,-0.07646279782056808,0.13340367376804352
full,-0.4503166377544403,-0.05640391260385513
spokesperson,-0.4276859760284424,0.66222083568573
had,0.6099692583084106,0.1408274918794632
day,0.22417640686035156,0.021204957738518715
would,-0.011075167916715145,-0.41374924778938293
asean,-0.33487576246261597,-0.30373698472976685
friday,-0.2529025971889496,0.6240128874778748
batch,0.71054607629776,0.5469029545783997
or,0.2708442211151123,-0.48742008209228516
vaccination,0.5604856014251709,0.16052143275737762
should,-0.0371197871863842,-0.64710932970047
online,-0.5100557804107666,0.3240593373775482
economy,0.3070019483566284,-0.34125804901123047
billion,0.6530721783638,0.29582104086875916
province,0.007689782418310642,0.38385552167892456
good,-0.14470170438289642,-0.46727806329727173
ministry,-0.0954056829214096,0.7104262709617615
i,-0.2627997100353241,-0.4350852072238922
data,0.07623715698719025,0.3615023195743561
test,0.6813328862190247,0.26475176215171814
held,-0.5961284637451172,0.5554267764091492
th,-0.39950019121170044,0.5391501784324646
including,0.5027910470962524,0.12539522349834442
now,0.4715541899204254,-0.3327893614768982
tuesday,-0.2575627565383911,0.6322898268699646
arrived,0.6529160737991333,0.5472778081893921
human,-0.15960575640201569,-0.17882008850574493
could,0.1765737235546112,-0.5166404843330383
report,-0.3457275629043579,0.08984509110450745
chief,-0.4578501582145691,0.30415916442871094
into,0.30748656392097473,-0.16853532195091248
chinese_state_councilor,-0.3545597791671753,0.2782062590122223
local,0.08286471664905548,0.041554950177669525
experts,0.022394081577658653,0.1368558704853058
relations,-0.645617663860321,0.2393040657043457
only,0.1611252874135971,-0.6311560869216919
emergency,0.7494447231292725,0.298565536737442
efforts,-0.11248863488435745,-0.35755228996276855
pompeo,-0.18896009027957916,0.1244758889079094
control,0.11172747611999512,-0.24677954614162445
news,-0.32453322410583496,0.15512654185295105
march,0.3752676844596863,0.7193279266357422
being,0.266692578792572,-0.24068528413772583
rights,-0.24029797315597534,-0.20007112622261047
fact,-0.1087903082370758,-0.032728392630815506
trials,0.7535917162895203,0.09775789827108383
when,-0.3374682366847992,-0.06397833675146103
years,0.27657246589660645,0.0004165342834312469
indonesia,0.5064765810966492,0.24848757684230804
effective,0.7285702228546143,-0.03495604172348976
her,-0.034095749258995056,-0.2556679844856262
region,-0.3908843696117401,-0.2964995205402374
state,-0.31072771549224854,0.5888748168945312
through,-0.3602205812931061,-0.3420923948287964
poverty,-0.11131183058023453,-0.38083603978157043
says,-0.19941988587379456,-0.08442585915327072
security,-0.31944602727890015,0.02171819470822811
workers,0.49440595507621765,0.3205306828022003
were,0.6247135400772095,0.11944756656885147
supplies,0.5021958351135254,0.2307249903678894
together,-0.2065436840057373,-0.2534674406051636
well,0.09033937007188797,-0.42172983288764954
sunday,-0.022875213995575905,0.5197286009788513
saturday,-0.15293194353580475,0.6218765377998352
under,0.038002368062734604,-0.11393824964761734
such,0.12637658417224884,-0.42456570267677307
times,0.03528537601232529,-0.2304435670375824
united,-0.44885751605033875,-0.17684702575206757
related,-0.22503967583179474,-0.06406672298908234
community,-0.43183934688568115,-0.3621278405189514
xi,-0.5572451949119568,0.19857443869113922
recovery,-0.1552734673023224,-0.2930949032306671
clinical,0.7913314700126648,0.11362601071596146
may,0.38581082224845886,-0.06831956654787064
2,0.5686104893684387,0.3591277003288269
g,-0.05114438384771347,0.02143280580639839
there,0.022094212472438812,-0.46166807413101196
future,-0.49353155493736267,-0.28956523537635803
do,-0.22228223085403442,-0.6033464074134827
true,-0.2295311689376831,-0.10680625587701797
make,-0.065193772315979,-0.5558136105537415
shared,-0.49754956364631653,-0.13923108577728271
filipino,-0.11510144174098969,0.1455802470445633
april,0.21364760398864746,0.5676547288894653
amid,0.42890316247940063,-0.2541334629058838
called,-0.4800386428833008,0.01719520427286625
truth,-0.08796984702348709,0.08603175729513168
friendship,-0.20293502509593964,0.027818161994218826
food,0.33656415343284607,-0.11990433186292648
conference,-0.6178267598152161,0.46136823296546936
kits,0.6329876184463501,0.24158978462219238
production,0.6574985980987549,-0.0788719654083252
total,0.7453869581222534,0.22202791273593903
hospital,0.01648123376071453,0.08201847225427628
brazil,0.5269440412521362,0.17729242146015167
need,-0.03639363870024681,-0.5331447124481201
most,-0.000635754142422229,-0.34125256538391113
delivered,-0.2826473116874695,0.4580036401748657
department,-0.33558064699172974,0.6864244341850281
outbreak,0.5763480067253113,-0.26158466935157776
response,0.2107527256011963,-0.0032010814175009727
end,0.5420647859573364,0.19965171813964844
ceremony,-0.2705269753932953,0.6284142136573792
your,-0.38825464248657227,-0.2982330024242401
any,-0.07053801417350769,-0.5355592966079712
approved,0.6704428195953369,0.22763477265834808
project,-0.03618692606687546,-0.017930496484041214
growth,0.09416107088327408,-0.13713496923446655
key,-0.4021909832954407,-0.05174770951271057
announced,-0.16469083726406097,0.5464181900024414
wangyi,-0.43846577405929565,0.2771620750427246
statement,-0.4723986089229584,0.5074301958084106
prevention,0.2098105102777481,-0.18201833963394165
system,-0.4160577356815338,-0.07170123606920242
press,-0.5365761518478394,0.49634701013565063
meeting,-0.6255572438240051,0.28057754039764404
novel,0.5273796916007996,-0.3250334560871124
company,0.4579373300075531,0.41768714785575867
sinovac_biotech,0.7195583581924438,0.40879136323928833
group,0.3388981521129608,0.31934747099876404
hong_kong,-0.4284028112888336,0.04925509914755821
anti,0.19530712068080902,-0.10868778079748154
protective,0.5332260131835938,0.26123857498168945
testing,0.5260637998580933,-0.14064499735832214
embassy,-0.27543678879737854,0.28556349873542786
across,0.24867746233940125,-0.057652220129966736
turkey,0.49567627906799316,0.39507389068603516
huawei,-0.038078512996435165,-0.11708919703960419
via,-0.5984485149383545,0.2847541868686676
number,0.2599196434020996,-0.012336649000644684
better,-0.1661737859249115,-0.4269634187221527
based,0.16060695052146912,-0.01743963547050953
states,-0.2959798276424408,-0.23365040123462677
5,0.3963938057422638,0.12559352815151215
bridge,0.01788591966032982,-0.035762567073106766
three,0.40545594692230225,0.029905058443546295
information,-0.13103674352169037,0.03890291228890419
officials,-0.20226214826107025,0.08179683238267899
continue,-0.26338136196136475,-0.4145441949367523
top,-0.018326282501220703,-0.09480657428503036
reported,0.45475050806999207,-0.09295346587896347
remarks,-0.6192572712898254,0.41314828395843506
disease,0.3950371742248535,-0.07068315893411636
hospitals,0.22888822853565216,-0.15663494169712067
september,-0.006108270026743412,0.610579788684845
western,-0.2405814826488495,-0.32734450697898865
early,0.3338547348976135,0.0023058324586600065
them,-0.12829916179180145,-0.35202717781066895
yuan,0.6375837922096252,0.26729217171669006
june,0.023611370474100113,0.6226285696029663
research,0.4105715751647949,-0.0761619284749031
investment,-0.36703646183013916,0.1628963202238083
since,0.5000951886177063,-0.004576543811708689
many,0.1709255874156952,-0.49916622042655945
assistance,0.10146302729845047,-0.14777831733226776
duterte,-0.46247613430023193,0.3943949341773987
false,-0.17027221620082855,-0.07505150139331818
trump,0.034743115305900574,-0.28076502680778503
provide,0.15592029690742493,-0.34599822759628296
see,-0.4326193928718567,-0.32665306329727173
coronavac,0.6835610866546631,0.4847731292247772
