date,cat,count,n,freq
2021-04-26,posemo,5,132,0.03787878787878788
2021-04-26,negemo,5,132,0.03787878787878788
2021-04-26,they,0,132,0.0
2021-04-26,we,0,132,0.0
2021-04-26,tentat,0,132,0.0
2021-04-26,certain,3,132,0.022727272727272728
2021-04-26,money,3,132,0.022727272727272728
2021-04-26,friend,0,132,0.0
2021-04-26,achieve,3,132,0.022727272727272728
2021-04-26,negate,1,132,0.007575757575757576
2021-04-26,anger,5,132,0.03787878787878788
2021-04-26,anx,0,132,0.0
2021-04-25,posemo,2,163,0.012269938650306749
2021-04-25,negemo,5,163,0.03067484662576687
2021-04-25,they,1,163,0.006134969325153374
2021-04-25,we,1,163,0.006134969325153374
2021-04-25,tentat,1,163,0.006134969325153374
2021-04-25,certain,2,163,0.012269938650306749
2021-04-25,money,0,163,0.0
2021-04-25,friend,0,163,0.0
2021-04-25,achieve,4,163,0.024539877300613498
2021-04-25,negate,3,163,0.018404907975460124
2021-04-25,anger,4,163,0.024539877300613498
2021-04-25,anx,0,163,0.0
2021-04-24,posemo,0,123,0.0
2021-04-24,negemo,0,123,0.0
2021-04-24,they,0,123,0.0
2021-04-24,we,0,123,0.0
2021-04-24,tentat,0,123,0.0
2021-04-24,certain,0,123,0.0
2021-04-24,money,4,123,0.032520325203252036
2021-04-24,friend,0,123,0.0
2021-04-24,achieve,5,123,0.04065040650406504
2021-04-24,negate,0,123,0.0
2021-04-24,anger,0,123,0.0
2021-04-24,anx,0,123,0.0
2021-04-23,posemo,8,145,0.05517241379310345
2021-04-23,negemo,1,145,0.006896551724137931
2021-04-23,they,1,145,0.006896551724137931
2021-04-23,we,0,145,0.0
2021-04-23,tentat,0,145,0.0
2021-04-23,certain,1,145,0.006896551724137931
2021-04-23,money,2,145,0.013793103448275862
2021-04-23,friend,0,145,0.0
2021-04-23,achieve,23,145,0.15862068965517243
2021-04-23,negate,1,145,0.006896551724137931
2021-04-23,anger,0,145,0.0
2021-04-23,anx,0,145,0.0
2021-04-22,posemo,1,265,0.0037735849056603774
2021-04-22,negemo,4,265,0.01509433962264151
2021-04-22,they,0,265,0.0
2021-04-22,we,2,265,0.007547169811320755
2021-04-22,tentat,1,265,0.0037735849056603774
2021-04-22,certain,8,265,0.03018867924528302
2021-04-22,money,8,265,0.03018867924528302
2021-04-22,friend,0,265,0.0
2021-04-22,achieve,6,265,0.022641509433962263
2021-04-22,negate,3,265,0.011320754716981131
2021-04-22,anger,3,265,0.011320754716981131
2021-04-22,anx,0,265,0.0
2021-04-21,posemo,8,223,0.03587443946188341
2021-04-21,negemo,0,223,0.0
2021-04-21,they,1,223,0.004484304932735426
2021-04-21,we,3,223,0.013452914798206279
2021-04-21,tentat,0,223,0.0
2021-04-21,certain,4,223,0.017937219730941704
2021-04-21,money,2,223,0.008968609865470852
2021-04-21,friend,0,223,0.0
2021-04-21,achieve,14,223,0.06278026905829596
2021-04-21,negate,4,223,0.017937219730941704
2021-04-21,anger,0,223,0.0
2021-04-21,anx,0,223,0.0
2021-04-20,posemo,0,99,0.0
2021-04-20,negemo,2,99,0.020202020202020204
2021-04-20,they,0,99,0.0
2021-04-20,we,0,99,0.0
2021-04-20,tentat,0,99,0.0
2021-04-20,certain,2,99,0.020202020202020204
2021-04-20,money,1,99,0.010101010101010102
2021-04-20,friend,0,99,0.0
2021-04-20,achieve,0,99,0.0
2021-04-20,negate,0,99,0.0
2021-04-20,anger,0,99,0.0
2021-04-20,anx,0,99,0.0
2021-04-19,posemo,15,217,0.06912442396313365
2021-04-19,negemo,0,217,0.0
2021-04-19,they,1,217,0.004608294930875576
2021-04-19,we,2,217,0.009216589861751152
2021-04-19,tentat,2,217,0.009216589861751152
2021-04-19,certain,0,217,0.0
2021-04-19,money,1,217,0.004608294930875576
2021-04-19,friend,0,217,0.0
2021-04-19,achieve,20,217,0.09216589861751152
2021-04-19,negate,2,217,0.009216589861751152
2021-04-19,anger,0,217,0.0
2021-04-19,anx,0,217,0.0
2021-04-18,posemo,1,86,0.011627906976744186
2021-04-18,negemo,0,86,0.0
2021-04-18,they,0,86,0.0
2021-04-18,we,0,86,0.0
2021-04-18,tentat,0,86,0.0
2021-04-18,certain,0,86,0.0
2021-04-18,money,3,86,0.03488372093023256
2021-04-18,friend,0,86,0.0
2021-04-18,achieve,4,86,0.046511627906976744
2021-04-18,negate,0,86,0.0
2021-04-18,anger,0,86,0.0
2021-04-18,anx,0,86,0.0
2021-04-17,posemo,5,74,0.06756756756756757
2021-04-17,negemo,1,74,0.013513513513513514
2021-04-17,they,0,74,0.0
2021-04-17,we,0,74,0.0
2021-04-17,tentat,0,74,0.0
2021-04-17,certain,2,74,0.02702702702702703
2021-04-17,money,0,74,0.0
2021-04-17,friend,0,74,0.0
2021-04-17,achieve,6,74,0.08108108108108109
2021-04-17,negate,0,74,0.0
2021-04-17,anger,0,74,0.0
2021-04-17,anx,1,74,0.013513513513513514
